0	0	0
0	0	0
0	0	0
1	0	0
4 	0 	0
2 	0 	0
3 	0 	0
7 	0 	0
1 	0 	0
9 	0 	0
3 	0 	0
8 	0 	0
2 	0 	0
1 	0 	0
3 	0 	0
5 	0 	0
12 	13 	0
13 	0 	0
7 	0 	0
11 	0 	0
4 	0 	0
6 	0 	0
4 	0 	0
14 	0 	0
10 	0 	0
11 	19 	0
17 	18 	0
2 	0 	0
26 	0 	0
19 	21 	0
16 	0 	0
17 	0 	0
13 	0 	0
8 	0 	0
34 	0 	0
10 	0 	0
5 	0 	0
20 	32 	34
7 	24 	0
28 	0 	0
35	0	0
16 	30 	0
10 	33 	0
9 	0 	0
40 	0 	0
27 	0 	0
23 	41 	0
25 	0 	0
37 	43 	0
22 	26 	42
46 	0 	0
38 	39 	44
25 	51 	0
15 	47 	53
29 	45 	52
28 	31 	54
15 	36 	42
14 	56 	57
37 	48 	50
27	49 	55
